# TECNOLOGÍA, INFORMACIÓN Y COMUNICACIONES DE COLOMBIA SAS Geofeed
# This feed is encoded in RFC 8805 format.
# Publication date: 2024-06-07
#
# This data feed provides approximate geo locations for a subset of
# TICCOL IP space, and the data included in this feed may be used only
# for improving the accuracy of Geo:IP lookups
#ip_prefix,alpha2code,region,city,postal_code
38.188.178.0/24,CO,CO-CUN,Choachi,251620
190.217.20.96/28,CO,CO-CUN,Choachi,251620
2803:b850::/48,CO,CO-CUN,Choachi,251620
2803:b850:1::/48,CO,CO-CUN,Choachi,251620
2803:b850:2::/48,CO,CO-CUN,Choachi,251620
2803:b850:3::/48,CO,CO-CUN,Choachi,251620
2803:b850:4::/48,CO,CO-CUN,Choachi,251620
# TICCOL LAGUNA Geofeed
2803:b850:6::/48,CO,CO-CUN,Choachi,251620
2803:b850::/32,CO,CO-CUN,Choachi,251620
